	.%	%.	.Ж	Ж.	.Э	Э.	.-	-.	."	".	.=	=.	Ё%	%Ё	ЁЖ	ЖЁ	ЁЭ	ЭЁ	Ё-	-Ё	Ё"	"Ё	Ё=	=Ё
.%	0	3	3	2	1	3	3	3	3	3	2	1	3	3	2	3	2	3	3	3	3	3	3	3
%.	3	0	1	3	3	2	3	3	3	3	2	1	3	3	3	2	3	1	3	3	3	3	3	3
.Ж	3	1	0	3	3	3	1	1	1	3	3	3	2	3	3	3	3	3	3	3	1	3	3	3
Ж.	2	3	3	0	3	3	2	2	3	2	3	3	3	2	3	3	3	3	3	3	3	2	3	3
.Э	1	3	3	3	0	3	3	1	1	1	3	3	1	3	3	3	3	3	1	3	3	3	3	3
Э.	3	2	3	3	3	0	2	3	2	2	3	3	3	1	3	3	3	3	3	2	3	3	3	3
.-	3	3	1	2	3	2	0	3	3	3	2	3	3	3	3	3	1	3	3	3	3	3	1	3
-.	3	3	1	2	1	3	3	0	3	3	3	2	3	3	3	3	3	2	3	3	3	3	3	1
."	3	3	1	3	1	2	3	3	0	3	3	2	3	3	2	3	3	3	3	3	3	3	1	3
".	3	3	3	2	1	2	3	3	3	0	2	3	3	3	3	1	3	3	3	3	3	3	3	1
.=	2	2	3	3	3	3	2	3	3	2	0	3	3	3	3	3	3	3	2	3	2	3	3	3
=.	1	1	3	3	3	3	3	2	2	3	3	0	3	3	3	3	3	3	3	2	3	2	3	3
Ё%	3	3	2	3	1	3	3	3	3	3	3	3	0	3	3	1	2	3	3	3	3	3	2	1
%Ё	3	3	3	2	3	1	3	3	3	3	3	3	3	0	2	3	3	2	3	3	3	3	2	1
ЁЖ	2	3	3	3	3	3	3	3	2	3	3	3	3	2	0	3	3	3	2	2	2	3	3	3
ЖЁ	3	2	3	3	3	3	3	3	3	1	3	3	1	3	3	0	3	3	1	1	3	1	3	3
ЁЭ	2	3	3	3	3	3	1	3	3	3	3	3	2	3	3	3	0	3	3	1	1	1	3	3
ЭЁ	3	1	3	3	3	3	3	2	3	3	3	3	3	2	3	3	3	0	2	3	2	2	3	3
Ё-	3	3	3	3	1	3	3	3	3	3	2	3	3	3	2	1	3	2	0	3	3	3	1	3
-Ё	3	3	3	3	3	2	3	3	3	3	3	2	3	3	2	1	1	3	3	0	3	3	3	1
Ё"	3	3	1	3	3	3	3	3	3	3	2	3	3	3	2	3	1	2	3	3	0	3	3	1
"Ё	3	3	3	2	3	3	3	3	3	3	3	2	3	3	3	1	1	2	3	3	3	0	1	3
Ё=	3	3	3	3	3	3	1	3	1	3	3	3	2	2	3	3	3	3	1	3	3	1	0	3
=Ё	3	3	3	3	3	3	3	1	3	1	3	3	1	1	3	3	3	3	3	1	1	3	3	0
